id,text
dummy,"b'Why is it that my position on how society should be ran, consist of people doing there own thing as long as it does\xe2\x80\xa6 https://t.co/2M7R58TKb9'"
dummy,"b'@rustyrockets @jordanbpeterson Came in not caring for you Russel, after an hour and a half with JBP i have more res\xe2\x80\xa6 https://t.co/xWYc2nncgA'"
dummy,b'@WorldAndScience Probably due to solar system warming/universal change. All that plastic and shit mucking up ozone\xe2\x80\xa6 https://t.co/fAD2bl4Fcf'
dummy,b'@Dan_Donovan_17 @OwenBenjamin Titties https://t.co/rGu21AZjis'
dummy,"b'@sciam This artical is slanted, and with such a butchery a study of less than 600 participants, over 1 outta 3 Amer\xe2\x80\xa6 https://t.co/AnkOXYpjBH'"
dummy,"b""@OwenBenjamin This class, is what I call a procrastinating, type A, fantasy lover. He makes list of what he can't d\xe2\x80\xa6 https://t.co/zzgxqe1jt3"""
dummy,"b'@Dan_Donovan_17 @OwenBenjamin I just heard about that today, I have no regrets. Bad people use any tool they want t\xe2\x80\xa6 https://t.co/ifNUMQRr8T'"
dummy,"b""love 2 garden, u can not treat all plants the same some need things others don't 2 flourish. If this is the case wi\xe2\x80\xa6 https://t.co/TVOX9NbND6"""
dummy,"b'@OwenBenjamin I was pushed meds for adhd, never took them just bored in school. Told I was going nowhere in life by\xe2\x80\xa6 https://t.co/jfkMnw9CQF'"
dummy,"b'@newscientist Bitch just stop right now go listen to Jordan Peterson, you need to sort yourself out https://t.co/xIcvm3MZpk'"
dummy,"b""@Dan_Donovan_17 @OwenBenjamin ? Yea why ? The AR platform is a good one, what's so different about today?"""
dummy,b'@OwenBenjamin Fighting socialism with an ak? Bitch America Up https://t.co/bWp6e6Btlr'
dummy,"b""@chadfelixg Bro all I'm saying is dont do that shit in public, it's just as much of a cringe for any other couples\xe2\x80\xa6 https://t.co/WhZmIuhXiV"""
dummy,b'@jordanbpeterson Pretty sure he is a commie sympathizer'
dummy,"b""@OwenBenjamin @jordanbpeterson I've literally have been reading unit 731 and watching my little girls dance in the\xe2\x80\xa6 https://t.co/Tz8ngV8pwM"""
dummy,b'@OwenBenjamin Necrophilia just a matter of time'
dummy,b'@Jefferson_Hick @OwenBenjamin @brickoffanim8 Should have their conversation while in a car chase being followed by\xe2\x80\xa6 https://t.co/VcfBglU5wz'
dummy,b'@OwenBenjamin @brickoffanim8 The men and women song in their head bit'
dummy,b'@jockowillink Pussy'
dummy,"b""@LeeCamp But them wmd's though"""
dummy,b'@EdLatimore @CamFAwesome I beat them all the time. When bullied with name calling or picking and making fun I would\xe2\x80\xa6 https://t.co/zQhIoZUw04'
dummy,b'@OwenBenjamin I would think they never do. Seems like they are sensitive to light with all that Squinting'
dummy,b'@CozmicSmurf Lololol fuggin love that movie rip Chris Farley'
dummy,"b""@CozmicSmurf You can charge 100 bucks for a pile of dog shit, doesn't mean I have to pay it. It's value is low, it'\xe2\x80\xa6 https://t.co/lHC2FeHP6Q"""
dummy,"b'@BeautifulDayMom @CozmicSmurf True, bought a reverse osmosis water filter, been a good investment'"
dummy,b'@CozmicSmurf @BeautifulDayMom My best example for this would be The Pencil https://t.co/QiWmUJKerg'
dummy,"b'@CozmicSmurf @BeautifulDayMom Nope, those cost are associated with supply and demand. Having a governing body try t\xe2\x80\xa6 https://t.co/kTEzdA9fBV'"
dummy,b'@CozmicSmurf Value is based on what the buyer is willing to pay. I do agree competition is a key. I would just offe\xe2\x80\xa6 https://t.co/8LcSztNVV6'
dummy,b'@CozmicSmurf Should we limit Usain Bolt in the 100meter? If you would cap profits the companies would just raise th\xe2\x80\xa6 https://t.co/KWJUyVc7P6'
dummy,"b""2 years ago I took a 20% cut in pay in order to be in a stable job. Days like today remind me money isn't everthing\xe2\x80\xa6 https://t.co/UKq5tczkuX"""
dummy,"b""RT @BretWeinstein: Western civilization is barely able to handle a conversation about humans and natural selection. It shouldn't surprise u\xe2\x80\xa6"""
dummy,"b'@CozmicSmurf @RubinReport @jimmykimmel @benshapiro Political theater is a showcase of ideas, brainwashing is for th\xe2\x80\xa6 https://t.co/6bJgltuL32'"
dummy,b'RT @RubinReport: Almost 30K retweets and counting. Let\xe2\x80\x99s do it @jimmykimmel. I promise @benshapiro isn\xe2\x80\x99t that scary in person! https://t.co\xe2\x80\xa6'
dummy,"b'RT @ThomasSowell: ""Those who say that all cultures are equal never explain why the results of those cultures are so grossly unequal.""'"
dummy,"b""@jordanbpeterson Ya the guy hit a hornets nest with a flamethrower. Now you have experience chaos, now it's time to sort yourself out"""
dummy,b'@therealckinbote @PageauJonathan What new form though.'
dummy,"b'@FrRKBarberg @PageauJonathan Seeing the material world vs the symbolic world. Ie what is a door, vs what does a doo\xe2\x80\xa6 https://t.co/nxH8ICJSpJ'"
dummy,"b""@therealckinbote @PageauJonathan I'm not resentful, Its just no one seems to care for what is being said. And it mo\xe2\x80\xa6 https://t.co/S9CbBmrcCw"""
dummy,b'@BenLBerryV @OwenBenjamin @mmccordky We could just make a YouTube channel have people submit funny sketches/art. Or website whatever'
dummy,b'@nick_vis Good day sir!'
dummy,b'@OwenBenjamin And just how are we suppose to tenderize the meat then smarty pants'
dummy,"b'@FrRKBarberg @PageauJonathan Strange, I knew something was off growing up,  I could not fit bible with science. I n\xe2\x80\xa6 https://t.co/kSLqpEXU34'"
dummy,"b'@EdLatimore Dude volcanoes, how can you beat lava? Molten rock rain/ river that devours all before it, yet creates new land in its wake.'"
dummy,"b'@PageauJonathan I grew up southern Baptist,  you speaking about orthodoxy is growing on me.... big time'"
dummy,"b""RT @fleccas: [PROPOSAL]: DEBATE FOR CHARITY. \nBen Shapiro VS. Jimmy Kimmel.  \n\nGOAL: Raise $500,000 for St. Jude's Children's Hospital.\nFOR\xe2\x80\xa6"""
dummy,b'@OwenBenjamin Is it a white fluffy cloud?'
dummy,b'@CozmicSmurf @AndyStumpf77 How can it be foolish and have a purpose?'
dummy,b'@CozmicSmurf @AndyStumpf77 Ok so then what is it'
dummy,"b""@CozmicSmurf @AndyStumpf77 Lol I wasn't foolish, and I yes we did sign our life way. We didn't follow orders to joi\xe2\x80\xa6 https://t.co/3ylNcui89t"""
dummy,b'@CozmicSmurf @AndyStumpf77 So I what if a witness a rape in progress and intervene? Would that be foolish?'
dummy,b'@CozmicSmurf @AndyStumpf77 If I woman is being raped is her choice to fight back not a commendable trait? What is t\xe2\x80\xa6 https://t.co/XbZyBfYeLz'
dummy,"b'@CozmicSmurf @AndyStumpf77 War machine vet here,  war is not foolish, it is a trait of life. Not a fun trait but on\xe2\x80\xa6 https://t.co/qnZuq4wqE4'"
dummy,"b""Do you think those that seek out the hero's journey in stories are more likely to act it out? I wonder because ever\xe2\x80\xa6 https://t.co/hgCAkCbKHx"""
dummy,"b'@owenbearjamin @REALunBEARables Analyse The doomed by a perfect circle, paying attention to the music makes it great'"
dummy,"b""@OwenBenjamin I have an iq of potato, all I can do is make salad, by salad I mean just grab leaves. I'm pretty sure\xe2\x80\xa6 https://t.co/EpA7ZUxDvm"""
dummy,b'@REALunBEARables @OwenBenjamin anybody take a look at the new A Perfect Circle singles that have dropped? I may be\xe2\x80\xa6 https://t.co/7luHaSLGie'
dummy,"b'@X_Files_Girl @REALunBEARables Because auto correct is a quack, I mean hack, see I am work in cyber security so I u\xe2\x80\xa6 https://t.co/WmTqgzkXFj'"
dummy,"b""@PageauJonathan Ah,lololol man, it's funny because when you say it everything snaps into alignment. Thank you sir."""
dummy,b'@PageauJonathan does pathos suffer at the hands of logos? It seems I have taken to logos yet feel cold to those aro\xe2\x80\xa6 https://t.co/ln27SYj3c3'
dummy,b'I think there are 2 only 2 dangers in the world. Staring deep into a shallow puddle and mearly glancing at the abys\xe2\x80\xa6 https://t.co/kjUAAl3aus'
dummy,b'I wonder if a bear had pillows for arms what their tracks would look like? Or a police report of a mauling?@OwenBenjamin #UnBEARables'
dummy,b'RT @femalestuds: @jordanbpeterson @joerogan @jordanbpeterson https://t.co/nvgQ7pNGbC'
dummy,b'@owenbearjamin @REALunBEARables Art history'
dummy,"b'@mr_bahjer @CanaBear94 @OwenBenjamin Most of my hunting was rabbits, raised beagles and ran rabbits down here in the swamps of alabama'"
dummy,"b'@mr_bahjer @CanaBear94 @OwenBenjamin I grew up raising cattle, bottle fed a few from few days old, &amp; tended to them\xe2\x80\xa6 https://t.co/FeRs4eia5Y'"
dummy,"b""@OwenBenjamin I'm in a weird boat, I don't agree with how the meat industry is so I don't buy meat, I hunt, skin, a\xe2\x80\xa6 https://t.co/6HoXr0Z6QK"""
dummy,"b'@DonaldJTrumpJr I hope you bait the hook, need proof lol'"
dummy,"b'@IvankaTrump And the point? Who cares, if a woman does not want to be in tech let her go where she willing, why the\xe2\x80\xa6 https://t.co/GLCiw9i5Uv'"
dummy,b'RT @Maryam_Rajavi: This is the message of the people of Iran: we can overcome the monster of religious dictatorship; we can free our occupi\xe2\x80\xa6'
dummy,"b'The queen builds the king, the king builds the kingdom.'"
dummy,"b'RT @ThomasSowell: ""Would you bet your paycheck on a weather forecast for tomorrow? If not, then why should this country bet billions on \'gl\xe2\x80\xa6'"
dummy,"b'@OwenBenjamin I wonder, if the Nazi were funny in their evil would they have lost, if they would have forced the ga\xe2\x80\xa6 https://t.co/sWdSpKUWB9'"
dummy,b'@LoriDav04071591  https://t.co/WXrXVnGZEF'
dummy,"b""@LoriDav04071591 they never made a movie, it never existed, that's your imagination,  what have me and your mother\xe2\x80\xa6 https://t.co/ZfrVtwlYwn"""
dummy,"b""What's up freedom fighter bear, is that a last air bender reference?@LoriDav04071591"""
dummy,b'Give it up for ironic spider!  Terrified yet intriguing! @clcagwin'
dummy,b'@HTXthinker610 @OwenBenjamin  https://t.co/UX0qjdSGs2'
dummy,b'@OwenBenjamin Use it for your thumbnail! https://t.co/lOVVQ5JfY7'
dummy,"b""@OwenBenjamin I fight because it's my nature,  you got the sheep, the Shepard,  the wolves, and the sheep dog,  I'm\xe2\x80\xa6 https://t.co/4ljuZpYPJX"""
dummy,"b'@OwenBenjamin Dude, been doing the since high school I was super into history,  physiology, the bible and free mark\xe2\x80\xa6 https://t.co/F2N05hkrVw'"
dummy,"b'@StefanMolyneux Totally pulling back on my internet, getting in to books and studying the past, I caught myself  co\xe2\x80\xa6 https://t.co/7NI7ulrqT4'"
dummy,b'@JerryMalinowski @scrowder @OwenBenjamin @8hrs @CNN God bless pool bear! I must ask though does a bear poo in a pool'
dummy,"b""@OwenBenjamin What's a sandwich monkey, we taking pastrami here?"""
dummy,"b'RT @ThomasSowell: ""If you want to see the poor remain poor, generation after generation, just keep the standards low in their schools and m\xe2\x80\xa6'"
dummy,b'RT @Tom33160915: @michaelshermer @primalpoly  https://t.co/tTRolODqJJ'
dummy,b'@Tom33160915 @michaelshermer @primalpoly That person already dead on the left'
dummy,"b'@OwenBenjamin it is said the pen is mightier than the sword, but the neither will never cut as deep as the tongue.'"
dummy,"b'Hello from Florida, delev! Wish you the best! @DolevBroughton'"
dummy,"b'RT @unsavoryagents: FOR STARTERS ... I HAD ABSOOOOOOOLUTELYYYYY NOTHING TO DO WITH THIS. ... HOWEVER, WITH THAT BEING SAID AND OUT OF THE W\xe2\x80\xa6'"
dummy,b'@OwenBenjamin I would rather inject concentrated ghost pepper juice into my pee whole than watch that movie again.'
dummy,"b""@OwenBenjamin I got picked on allot as a kid, I learned that nothing takes the winds outta someone's sail as much a\xe2\x80\xa6 https://t.co/c5wvp9qi6a"""
dummy,"b'@IhszNaomi Destin is touristy aswell, we like to go to grayton beach, very small town beach vibes good place'"
dummy,b'@IhszNaomi Nor Destin for me on spring break. hope to get a sailboat this winter to avoid the crowds yet get the beach/sea'
dummy,b'@IhszNaomi Destin beach for posiden bear'
dummy,b'Which beach?@IhszNaomi'
dummy,b'RT @OwenBenjamin: Law is an opinion with a gun'
dummy,b'@PageauJonathan Could it be the meta of good for both? We could  learn a bad lesson from a situation either negitiv\xe2\x80\xa6 https://t.co/BUrgt7Epua'
dummy,"b'@OwenBenjamin Im 27, married high school sweetheart, 2 kids, nothing better than family.'"
dummy,"b'@TotesBroDog @OwenBenjamin All good mate, looks great.'"
dummy,"b""@OwenBenjamin @TotesBroDog That's a dog track though."""
dummy,b'@MickWest @CozmicSmurf Secondly agrees hacked ai would be the problem. But yet again with the personification of a\xe2\x80\xa6 https://t.co/xpLWmSAYQL'
dummy,"b'@MickWest @CozmicSmurf @joerogan Capabilities? Like the tractor in the age of the mule, or wheel. This is human exi\xe2\x80\xa6 https://t.co/GAP3aDD1oB'"
dummy,b'@MickWest @CozmicSmurf @joerogan Ok then what is it? On a simplified level you are looking at a chimp troop to unde\xe2\x80\xa6 https://t.co/HbkMBdfUP8'
dummy,b'@CozmicSmurf @MickWest @joerogan Dude ur seriously the first person I have seen that has agreed w/ me every1 else s\xe2\x80\xa6 https://t.co/OdiKmIgszc'
dummy,b'@shaniquaotoole @OwenBenjamin @AustinHighsmith Only in her imagination stories would  anything fucking that. One co\xe2\x80\xa6 https://t.co/Ax9mrFfU97'
dummy,"b'@OwenBenjamin bit In progress, if a guy is a black white mix, does his white half suppress is black half? Like does\xe2\x80\xa6 https://t.co/qMdZ1i6ZpQ'"
dummy,"b""@CozmicSmurf @MickWest @joerogan My thoughts exactly,  a machine doesn't have the same motivational systems as in o\xe2\x80\xa6 https://t.co/GUmUHOHgy3"""
dummy,"b'@MickWest @joerogan Only if you believe a cpu will act as a human, you can look at a fish to know what a giraffe will do'"
dummy,"b'@OwenBenjamin Thought about a bit needs work but it goes, ""you know the tobacco industry should make colored smoke,\xe2\x80\xa6 https://t.co/OUiXLs6SRt'"
dummy,"b'@OwenBenjamin Why do I have to watch Audi commercials for the sales event, when I need to being shown which toilet\xe2\x80\xa6 https://t.co/TXkiFBOK0Q'"
dummy,"b""Why do I have to watch Audi commercials for the sales event, when I need to being shown which toilet paper won't le\xe2\x80\xa6 https://t.co/rOu93ILAT8"""
dummy,b'@shaniquaotoole @OwenBenjamin The conception of Walther.'
dummy,"b""@PageauJonathan  just a thought, articulation isn't my strong point. https://t.co/NleqVM51sX"""
dummy,"b'Thought about a bit needs work but it goes, ""you know the tobacco industry should make colored smoke, I mean, they\xe2\x80\xa6 https://t.co/OcZZYMgL5W'"
dummy,b'@Salcido314 @joerogan Lolol when can we go? https://t.co/NzRDDSDw2y'
dummy,b'@jordanbpeterson Her article is probably an ignorant one for the possessed'
dummy,"b""@OwenBenjamin Try out, the pacific, for a war film, it's the best I've ever seen"""
dummy,"b'@OwenBenjamin I was listening to the gulag archipelago,  had a thought, ""those that clank glasses to revolution usu\xe2\x80\xa6 https://t.co/pHf4AU6398'"
dummy,b'RT @Gavin_McInnes: Here and all over the Western world. https://t.co/W8BDiAyLi7'
dummy,b'@OwenBenjamin  https://t.co/glrhUWsfmc'
dummy,"b'@OwenBenjamin Impending doom, nailed,dead risen'"
dummy,"b'@StefanMolyneux you know what I hate about atheist and Christians alike, how we will squabble about the the big ban\xe2\x80\xa6 https://t.co/Hvjxmum6Ch'"
dummy,"b""RT @charliekirk11: Don't let anyone tell you communism was never tried \n\nWe have over 100 documented cases of catastrophic failure on five\xe2\x80\xa6"""
dummy,b'@Everything_TN Teach him to fight and stop the danm crying'
dummy,b'RT @StefanMolyneux: ...and lies and lies and lies and lies and lies and lies and lies and lies and lies and lies and lies and lies and lies\xe2\x80\xa6'
dummy,"b""@scrowder So what's waving the Nazi flag compared to? Or Isis or hammer and sickle? I think all this is a cry for attention"""
dummy,"b'@OwenBenjamin Did you see my pic I drew,  use it if you like'"
dummy,b'@OwenBenjamin https://t.co/KHEeVFWfyL'
dummy,b'@OwenBenjamin You can find some of my previous work at https://t.co/siVFC08W0Y'
dummy,"b""@OwenBenjamin @OwenBenjamin hey owen, if you find my art to be in good standing with you, may I ask a favor? I'm tr\xe2\x80\xa6 https://t.co/H4bsharotR"""
dummy,"b""@JesTheBelle @biggoesbackin @OwenBenjamin Thank you ma'am"""
dummy,"b'@OwenBenjamin \nThis is my first digital media pic, hope all the #unBEARables enjoy took bout a week of my free time\xe2\x80\xa6 https://t.co/0i8kK6AgVU'"
dummy,"b'@OwenBenjamin Interstellar is a movie of mans love for his family pride in himself and striving for doing right, ev\xe2\x80\xa6 https://t.co/E6lrOBfSKP'"
dummy,b'@OwenBenjamin The movie interstellar contrasted with the movie downsizing'
dummy,"b""@Brittany_207 It's a bit sweet for my taste, tastes just like pumpkin pie, I just splash it in my glass and times get good"""
dummy,"b""@Brittany_207 I know it's a sin to mix em, but it makes for a great drink https://t.co/b0tpGhdtjn"""
dummy,"b""@OwenBenjamin I put on indie trashcan tunes, put a cucumber in my butt and run around talking about how animals shouldn't be food."""
dummy,"b""@melindagates @IvankaTrump Here's an idea for you, instead of pushing or pulling other people to do things you beli\xe2\x80\xa6 https://t.co/ZSedlFUM3O"""
dummy,b'@OwenBenjamin  https://t.co/16XRywW99S'
dummy,"b""@OwenBenjamin They can't find the dick to chop, it practically jumps off their body upon ingestion"""
dummy,b'@OwenBenjamin Crazy that of the meanings of roofied trans in America and roofied a trans in Iran'
dummy,"b'@OwenBenjamin I lived in the deep woods of Alabama, if I fucked a pine knot does this make me gay cuz I got off on\xe2\x80\xa6 https://t.co/BcBjaXZIXN'"
dummy,b'@OwenBenjamin This poor soul https://t.co/D9wVrUUFQx'
dummy,b'@OwenBenjamin A brick wall with some faulty bricks gives you a diverse wall not a strong one'
dummy,"b'@StefanMolyneux I was an art major in 09 got sick of the atmosphere, joined the military, I am currently working on\xe2\x80\xa6 https://t.co/H8AXRU2wWm'"
dummy,"b'RT @GOP: .@POTUS action in Utah --\nDOES NOT sell public lands wholesale, close parks, drill for oil in parks, leave tribal artifacts or fos\xe2\x80\xa6'"
dummy,b'@OwenBenjamin https://t.co/tq9NDybYQu'
dummy,"b'@NotGayJared I bet you do want to be covered in white from some jingle bells while screaming ""yea give me that pola\xe2\x80\xa6 https://t.co/CHZVPLYeau'"
dummy,"b'@OwenBenjamin Things man will do for love and pride, vs reducing the population in order for the select few to have empty materialism'"
dummy,"b""@OwenBenjamin interstellar the movie and it's meanings, contrasted with the new movie downsizing"""
dummy,"b'@OwenBenjamin Be even funnier if he sat down beside you, cracked one open, looks at you says yup and then a racoon\xe2\x80\xa6 https://t.co/Y9XVk7RLoQ'"
dummy,"b""@scale_e @shaniquaotoole @OwenBenjamin I done it with rubber bands and I've don't it with a knife, split the sack p\xe2\x80\xa6 https://t.co/yV2MyMyCpq"""
dummy,"b'@shaniquaotoole @OwenBenjamin Honesty I have castrated 3 cows and 5 pigs, I can do it with ease to a person like that'"
dummy,"b'@shaniquaotoole @OwenBenjamin Drag them into the street and castrate them, we can talk about the complex philosophi\xe2\x80\xa6 https://t.co/K0FNJ7Dova'"
dummy,"b'@OwenBenjamin Hey owen be nice the guys on to something here, his opinions are so valid just ask his 12 followers'"
dummy,"b'RT @ThomasSowell: ""No matter how much people on the left talk about compassion, they have no compassion for the taxpayers.""'"
dummy,"b'@OwenBenjamin Ya I get that, i will do the same. When you love someone more than yourself and loose that life becom\xe2\x80\xa6 https://t.co/u7IE0NqvkM'"
dummy,"b'@OwenBenjamin I know im just a redneck from Alabama, but if I go to the store and need to buy something and cashier\xe2\x80\xa6 https://t.co/9H4EHFKjtg'"
dummy,"b'RT @realDonaldTrump: So General Flynn lies to the FBI and his life is destroyed, while Crooked Hillary Clinton, on that now famous FBI holi\xe2\x80\xa6'"
dummy,b'RT @realDonaldTrump: Many people in our Country are asking what the \xe2\x80\x9cJustice\xe2\x80\x9d Department is going to do about the fact that totally Crooked\xe2\x80\xa6'
dummy,b'@OwenBenjamin Probably eaten so much soy he pisses tamari'
dummy,b'@OwenBenjamin @AndyRichter have you found a way to limit your friends from groping the unwilling.'
dummy,"b'@OwenBenjamin He has eaten so much soy, he embodied the shape'"
dummy,b'@jordanbpeterson @PageauJonathan https://t.co/bOCkiqEqSV'
dummy,"b""@downsizingfilm @OwenBenjamin The message wasn't make larger items but reduce populations."""
dummy,b'@downsizingfilm @OwenBenjamin Anybody else see the meta of the message slightly genocidal and self absorbed. With a\xe2\x80\xa6 https://t.co/XHoURh7wa7'
dummy,b'@GeorgeCrocker @OwenBenjamin Way to get me jammed up'
dummy,b'@Shannonpapay mothafuckin bear bones!!!'
dummy,"b""@OwenBenjamin Bro I am a vegetarian and I don't even eat soy, my cock is throbbing hard and long as a zucchini in t\xe2\x80\xa6 https://t.co/a9PARxltp9"""
dummy,b'@OwenBenjamin New studies show easiest and quickest way for male to female transition is consumption of a brick of soy'
dummy,b'RT @StefanMolyneux: Sometimes what grows from a grave is a flower.\n\nSometimes what grows from a grave is a WALL.\n\n#KateSteinle'
dummy,b'@OwenBenjamin  https://t.co/8L9VysAELZ'
dummy,"b'@jordanbpeterson Lmao, you can be a vegetarian or vegan as long as you have lights and money. There is no vegetaria\xe2\x80\xa6 https://t.co/g2yXyZfmsg'"
dummy,"b'https://t.co/8zjzdQESfL\n@OwenBenjamin with all this man hate, and demasculation, felt like this is a dose of reality of what men are.'"
dummy,b'@Courtneyscoffs Yup a raise was involved'
dummy,"b'@OwenBenjamin Hello Mr. Todd this is @OwenBenjamin customer service located in urethra . Yes sir, all problems are\xe2\x80\xa6 https://t.co/49opheaKzi'"
dummy,"b'@OwenBenjamin I picked my buddy up from the airport in this, I am straight, married my high school sweetheart and h\xe2\x80\xa6 https://t.co/rquEISOYwt'"
dummy,"b'@Jordan_A_Burton @OwenBenjamin I was a male cheerleader, not gay, this is bullshit.'"
dummy,"b'@scrowder @NotGayJared @Courtneyscoffs @GmorganJr \n\nBeen a tough week, love you guys https://t.co/PPs9C1ETt7'"
dummy,b'@Courtneyscoffs I was a male cheerleader can confirm this is total and complete bullshit'
dummy,b'https://t.co/yjkqUzP0gr'
dummy,"b'@OwenBenjamin I think the whole concept of the lgbt community is silly, how simple must you be to think hey you lik\xe2\x80\xa6 https://t.co/UaUH6fyU6n'"
dummy,"b""RT @jordanbpeterson: Shall we do this on @RubinReport? Rubin will fly to Toronto. Everyone can watch then. We'll debate your essay point by\xe2\x80\xa6"""
dummy,"b""@OwenBenjamin Can I like that he bashed Warren, but hate how he did it. I wish it wasn't in the setting that it was."""
dummy,b'RT @JackPosobiec: You admitted to forcibly groping male models https://t.co/PFS8NZ05qI'
dummy,"b'@OwenBenjamin I pop but rarely, one of my kids does not respond to anything else, I had to get her off our kitchen\xe2\x80\xa6 https://t.co/vB38OaDV3K'"
dummy,b'RT @jordanbpeterson: This needs reposting... https://t.co/uSLNU3HwTP'
dummy,"b'@StefanMolyneux  if war or tragedy homogenize societies and that has been true since the beginning, how do we move\xe2\x80\xa6 https://t.co/GMI0sbMAWF'"
dummy,"b'@OwenBenjamin @jockowillink  if war or tragedy homogenize societies and that has been true since the beginning, how\xe2\x80\xa6 https://t.co/FpEqaw4PCq'"
dummy,b'@PageauJonathan hey Jonathan do you have a recommended reading list for symbolism. Thank you so much for your art and insight. God bless.'
dummy,b'RT @realDonaldTrump: Republican Senators are working very hard to get Tax Cuts and Tax Reform approved. Hopefully it will not be long and t\xe2\x80\xa6'
dummy,"b'@PageauJonathan  hey Jonathan, do you think that when Christ was tempted by the devil with bread and water, that hi\xe2\x80\xa6 https://t.co/damQW3JHvD'"
dummy,"b'@jordanbpeterson Listing to them is surreal, a person with intellect and well fourmalated thought, and an idiot wit\xe2\x80\xa6 https://t.co/Pn6hVl4tjG'"
dummy,b'RT @jordanbpeterson: To call this scandalous is barely to scratch the surface:  From  secretly recorded meeting between Wilfrid Laurier U g\xe2\x80\xa6'
dummy,b'@OwenBenjamin quick doodle nothing to the scope of yesterday https://t.co/WgD9thvYfz'
dummy,b'@OwenBenjamin Is it gay if I handle my wood while watching you with yours?'
dummy,b'RT @jordanbpeterson: With all the accusations of sex assault emerging (eg Louis CK) we are going to soon remember why sex was traditionally\xe2\x80\xa6'
dummy,"b'@OwenBenjamin Alert the lgbtqaajfkfofnrhsowowoe880eieh community owen will be handing loads of wood, he should call\xe2\x80\xa6 https://t.co/jCfB2ai86C'"
dummy,b'@celebsquash @OwenBenjamin @CigarAficMag Swagger'
dummy,"b'@JuliBMe @OwenBenjamin @society6 No I meant it as both, sometimes you have cut back to have it flourish. At least i\xe2\x80\xa6 https://t.co/glwpCcY1HU'"
dummy,b'@JuliBMe @OwenBenjamin @society6 \xf0\x9f\x91\x8dalways better to prune dreams than to reap sorrow.'
dummy,b'@JuliBMe @OwenBenjamin @society6 I have never heard of it before. I wanted to be a tattoo artist/owner. Tell her to\xe2\x80\xa6 https://t.co/r6LBGXhyE5'
dummy,b'@OwenBenjamin Get to it brother'
dummy,"b""@JuliBMe @OwenBenjamin That's intense, I've lived through Katrina and Ivan, we lost nearly 300, 20 year pines trees\xe2\x80\xa6 https://t.co/n7OngG9tMV"""
dummy,"b""@JuliBMe @OwenBenjamin I've never been to Cali, born and raised south Alabama, enlisted Air Force, farthest I got w\xe2\x80\xa6 https://t.co/FFC46dy5SH"""
